,geometry_x,RCH_DID,MB_NM,RCH_LEN,유량(m3/day),추정유량(m3/day),구간체류시간(h),PEC_WS,rich_class
616,"LINESTRING (127.95936098800007 35.63377944200005, 127.96132471800001 35.63180746000006, 127.96289195700001 35.63090029800003, 127.96375511000008 35.63098884900006, 127.96473700600006 35.63123152500003, 127.96675782300008 35.631597104000036, 127.96835868300002 35.63227617200005, 127.96974141300007 35.63304047400004, 127.97089054000003 35.63381856600006, 127.97309350400008 35.63594808000005, 127.97398244100009 35.63695488900004, 127.97668671100007 35.63823332700008, 127.97761289300001 35.63869107000005, 127.97967749700001 35.63903221800007, 127.98087101100009 35.638640802000054, 127.98162717200012 35.63815968400007, 127.98208402900002 35.63737922100006, 127.9824374850001 35.636480841000036)",2015051400,합천댐,2.688245,,6771583.502987978,1.0553760921498856,9.034649061870704e-06,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9070>
617,"LINESTRING (127.9442252230001 35.65940176500004, 127.94441254800006 35.65868587600005, 127.94509890800009 35.65489899000005, 127.94587327900001 35.65238782100005, 127.94805629600012 35.649114068000074)",2015050800,합천댐,1.206929,,5942092.787492134,0.47382735261197134,9.733379465605656e-06,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb90a0>
618,"LINESTRING (127.93911337400004 35.681797990000064, 127.94002490700007 35.67972717500004, 127.94000254700006 35.67531360300006, 127.94029751400001 35.673032858000056, 127.94242525900006 35.66497608800006, 127.94376849900004 35.661100582000074, 127.9442252230001 35.65940176500004)",2015050600,합천댐,2.542823,,5879219.502761651,0.9982849780317077,9.830996918168887e-06,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb90d0>
619,"LINESTRING (127.92710927900009 35.69064987400003, 127.92792939900005 35.69089210900006, 127.92864774200007 35.69092113100004, 127.92928569200001 35.69073149500008, 127.93075762600006 35.690022139000064, 127.93240562900007 35.68838707800006, 127.93430239500003 35.68677392700005, 127.93670426200003 35.68459616600006, 127.93911337400004 35.681797990000064)",2015050200,합천댐,1.547734,,5559374.416811784,0.6076237324378957,1.0169735853237956e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9100>
620,"LINESTRING (128.79433909300008 35.43365975300003, 128.79460758400012 35.433455038000034, 128.79715102500006 35.43129642100007, 128.79793725600007 35.428552108000076, 128.79660863800007 35.42706279500004, 128.79648649600006 35.42380177300004, 128.79570082600003 35.41533005600007, 128.79379592400005 35.41030091500005)",2021090900,밀양강,2.773081,2282177.4,2282177.4,3.1883656223052603,2.3954772315941527e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9130>
621,"LINESTRING (128.131096651 35.187486517000025, 128.13108450900006 35.19146465800003, 128.12997129500002 35.19948833800004, 128.12850724800012 35.20323724700006, 128.12769064000008 35.20804110900008)",2019030100,남강,2.312492,,16572696.281224513,1.5328051259390194,1.809452031841868e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9160>
622,"LINESTRING (128.19828719200007 35.221849441000074, 128.2004059950001 35.22220350900005, 128.20181134900008 35.22209452000004, 128.2031438470001 35.22180898400006, 128.2046727810001 35.221012759000075, 128.20906211600004 35.21846122900007, 128.216540333 35.21238634300005, 128.21839978100002 35.21068014700006, 128.21897202200012 35.21035425900004, 128.21945798000002 35.21019698500004, 128.22020458200006 35.210159144000045, 128.22105803500006 35.210251206000066, 128.2213752770001 35.210458955000036)",2019032300,남강,2.612173,17561760.0,17561760.0,1.7314447635881576,1.6472930552371013e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9190>
623,"LINESTRING (128.12769064000008 35.20804110900008, 128.1270831280001 35.20954680500006, 128.12603907400012 35.21668174700005)",2019030300,남강,0.973371,,16644262.381157825,0.6451862571807336,1.7879507719595847e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb91c0>
624,"LINESTRING (128.15834422800003 35.241081577000045, 128.15883249700005 35.24126441900006, 128.16265269100006 35.24270447400005, 128.16591587300002 35.24314192000003, 128.16716372500002 35.24249709400004, 128.17107451800007 35.24227190200003, 128.17208841100012 35.24125427400003, 128.17379982500006 35.23708918400007, 128.17503250000004 35.231428666000056, 128.17481874300006 35.228604725000025, 128.17504604900012 35.22641277300005, 128.17588426600003 35.22301145000006, 128.1765509910001 35.221599592000075, 128.17770402700012 35.220574344000056, 128.18019092300005 35.22071425100006, 128.1830231250001 35.219638916000065, 128.18668201800006 35.21926810000008, 128.18875413900003 35.21970088900008, 128.1957923540001 35.22117090800003, 128.19828719200007 35.221849441000074)",2019031900,남강,5.703376,,17350528.66336284,3.7804083075563413,1.69719653164411e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb91f0>
625,"LINESTRING (128.2213752770001 35.210458955000036, 128.22154246000002 35.21076574500006, 128.22187266700007 35.21184057100004, 128.22189488100003 35.21185674000003, 128.222603853 35.212567990000025, 128.223460691 35.21299647500007, 128.22448838600008 35.21333179700002, 128.225590602 35.21410000900005, 128.22735801500005 35.21585878500008, 128.229163491 35.21809521200004, 128.23076409300006 35.22007122000008, 128.23250013900008 35.22155363100006, 128.23429407300011 35.22308230300007)",2019050100,남강,1.866284,,22128078.740084853,1.1087744164765976,1.38577423169716e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9220>
626,"LINESTRING (128.12603907400012 35.21668174700005, 128.12836955800003 35.22826205800004, 128.12869207500012 35.23093102100006, 128.12965762600004 35.23258615300006, 128.13066996300006 35.23349081600003)",2019030500,남강,1.939833,,16741054.842202585,1.2857929739284137,1.7736767463528666e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9250>
