,RCH_DID,MB_NM,시설명,방류량,geometry,인구수,희석배율,C_local,PEC_local
37,1101150600,안성천,장당,60514.1,POINT (127.04943982385224 37.04719761692063),137475.0,1.2879671771511407,0.003138244664482432,0.002436587453590181
38,1101110800,안성천,동탄2 공공하수처리시설,58026.9,POINT (127.08556501275942 37.172956777499515),118481.0,3.9090911889295983,0.0028205836931941342,0.0007215446140478695
39,1004140801,달천,충주,57421.3,POINT (127.89507866864963 36.97828910455163),161039.0,4.256874406808036,0.0038741612584379643,0.0009100952690175692
40,1003140500,충주댐,제천,52576.7,POINT (128.19367428272162 37.124186462814805),114543.0,2.548356722080815,0.003009503681862899,0.0011809585588180693
41,3302032700,동진강,정읍,50003.9,POINT (126.85436074436133 35.60833428879938),81870.0,26.61516996456614,0.0022617289748166026,8.497894162718986e-05
42,2003040300,안동댐하류,안동,47658.4,POINT (128.6731704798957 36.55466031353711),125314.0,162.4474746571372,0.0036322838870698326,2.235974363243354e-05
43,1016050800,경안천,경안,44495.4,POINT (127.29469522060481 37.43833575515809),5193.0,11.696122911266437,0.0001612214625694025,1.3784179919493143e-05
44,3012040200,금강공주,수질복원센터(A),44372.1,POINT (127.24652154523868 36.461802263087506),212547.0,1061.167317299664,0.006617053496676419,6.235636349520009e-06
45,4005041100,요천,남원,42056.7,POINT (127.34666154227826 35.38299420082608),55509.0,9.671444722077329,0.0018232568771861543,0.00018851959863081728
46,1101120300,안성천,서호생태 수자원센터,40937.0,POINT (126.98652493879494 37.28159920103383),208852.0,1.6914505354449083,0.007047616682616709,0.004166611162982043
47,1019050800,한강고양,운정,39929.4,POINT (126.76774388550987 37.73437839628831),196567.0,12.289611103604539,0.006800447224623351,0.0005533492612006886
48,1007130700,남한강하류,이천,39914.5,POINT (127.47421437758754 37.289813584365376),150050.0,50.50128850775287,0.0051930793160061385,0.00010283063005825893
49,2004070301,내성천,영주,39229.4,POINT (128.61892304138695 36.76969222151412),87793.0,76.52430979369272,0.0030914901937960293,4.039879878865417e-05
50,1019050900,한강고양,금촌,38956.4,POINT (126.76008232368564 37.76022979363791),116482.0,127.31589273533145,0.004130471708102864,3.244270310140642e-05
51,1101100500,안성천,기흥,38838.9,POINT (127.09586229459583 37.24863709006036),129011.0,2.9225763293480354,0.004588592275486228,0.0015700504480955148
52,1018151400,한강서울,역곡,37726.7,POINT (126.8269349045053 37.4674718853655),176211.0,6.756623764655407,0.006452140956140725,0.0009549356573459865
